2016-04-16 21,73,2022484408,0.0,0.0
2016-04-16 22,73,2022484408,0.0,0.0
2016-04-16 23,73,2022484408,0.0,0.0
2016-04-17 00,73,2022484408,0.0,0.0
2016-04-17 01,75,2022484408,0.0,0.0
2016-04-17 02,83,2022484408,0.0,0.0
2016-04-17 03,75,2022484408,0.0,0.0
2016-04-17 04,74,2022484408,0.0,0.0
2016-04-17 05,77,2022484408,0.0,0.0
2016-04-17 06,77,2022484408,0.0,0.0
2016-04-17 07,71,2022484408,0.0,0.0
2016-04-17 08,74,2022484408,23.0,567.0
2016-04-17 09,114,2022484408,114.0,5317.0
2016-04-17 10,98,2022484408,76.0,1567.0
2016-04-17 11,90,2022484408,54.0,1194.0
2016-04-17 12,72,2022484408,5.0,64.0
2016-04-17 13,79,2022484408,10.0,292.0
2016-04-17 14,79,2022484408,45.0,1404.0
2016-04-17 15,79,2022484408,31.0,1147.0
2016-04-17 16,79,2022484408,35.0,1151.0
2016-04-17 17,79,2022484408,34.0,1351.0
2016-04-17 18,79,2022484408,30.0,644.0
2016-04-17 19,79,2022484408,11.0,247.0
2016-04-17 20,79,2022484408,5.0,167.0
2016-04-17 21,79,2022484408,0.0,0.0
2016-04-17 22,79,2022484408,0.0,0.0
2016-04-17 23,79,2022484408,0.0,0.0
2016-04-18 00,79,2022484408,0.0,0.0
2016-04-18 01,69,2022484408,0.0,0.0
2016-04-18 02,85,2022484408,0.0,0.0
2016-04-18 03,73,2022484408,0.0,0.0
2016-04-18 04,86,2022484408,0.0,0.0
2016-04-18 05,77,2022484408,0.0,0.0
2016-04-18 06,74,2022484408,5.0,69.0
2016-04-18 07,82,2022484408,40.0,1073.0
2016-04-18 08,73,2022484408,23.0,712.0
2016-04-18 09,125,2022484408,157.0,5400.0
2016-04-18 10,81,2022484408,31.0,796.0
2016-04-18 11,73,2022484408,1.0,46.0
2016-04-18 12,68,2022484408,15.0,306.0
2016-04-18 13,62,2022484408,14.0,404.0
2016-04-18 14,62,2022484408,40.0,1706.0
2016-04-18 15,62,2022484408,28.0,658.0
2016-04-18 16,62,2022484408,18.0,570.0
2016-04-18 17,62,2022484408,28.0,849.0
2016-04-18 18,62,2022484408,32.0,899.0
2016-04-18 19,62,2022484408,23.0,567.0
2016-04-18 20,62,2022484408,6.0,76.0
2016-04-18 21,62,2022484408,0.0,0.0
2016-04-18 22,62,2022484408,0.0,0.0
2016-04-18 23,62,2022484408,0.0,0.0
2016-04-19 00,62,2022484408,0.0,0.0
2016-04-19 01,77,2022484408,0.0,0.0
2016-04-19 02,89,2022484408,0.0,0.0
2016-04-19 03,80,2022484408,0.0,0.0
2016-04-19 04,113,2022484408,0.0,0.0
2016-04-19 05,80,2022484408,0.0,0.0
2016-04-19 06,83,2022484408,0.0,0.0
2016-04-19 07,78,2022484408,0.0,0.0
2016-04-19 08,70,2022484408,0.0,0.0
2016-04-19 09,72,2022484408,20.0,671.0
2016-04-19 10,68,2022484408,13.0,466.0
2016-04-19 11,69,2022484408,20.0,621.0
2016-04-19 12,70,2022484408,24.0,479.0
2016-04-19 13,70,2022484408,20.0,794.0
2016-04-19 14,70,2022484408,42.0,1437.0
2016-04-19 15,70,2022484408,35.0,1081.0
2016-04-19 16,70,2022484408,121.0,4709.0
2016-04-19 17,70,2022484408,23.0,459.0
2016-04-19 18,70,2022484408,25.0,548.0
2016-04-19 19,70,2022484408,14.0,283.0
2016-04-19 20,70,2022484408,0.0,0.0
2016-04-19 21,70,2022484408,0.0,0.0
2016-04-19 22,70,2022484408,0.0,0.0
2016-04-19 23,70,2022484408,0.0,0.0
2016-04-20 00,70,2022484408,0.0,0.0
2016-04-20 01,76,2022484408,0.0,0.0
2016-04-20 02,93,2022484408,0.0,0.0
2016-04-20 03,82,2022484408,0.0,0.0
2016-04-20 04,77,2022484408,0.0,0.0
2016-04-20 05,79,2022484408,0.0,0.0
2016-04-20 06,75,2022484408,7.0,129.0
